Status,Taker,Name,Notes,Agency,DocType,Id
審查中,邱景昆,大鵬灣國家風景區BOT開發計畫環境影響說明書第四次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1021504A
審核修正…,商維庭,高雄都會區大眾捷運系統紅、橘線基本路網第12-1次變更計畫環境影響差異分析報告（紅線南端副維修機廠商業服務區開發）,原名：高雄都會區大眾捷運系統紅、橘線基本路網第十七次變更計畫環境影響差異分析報告（紅線南端副維修機廠商業服務區開發）,環保署,差異分析報告,1021493A
審核修正…,邱景昆,淡水濱海高爾夫球場範圍變更環境影響說明書第三次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021484A
徵詢意見…,楊智凱,新設(含擴建)科學園區政策評估說明書,本書件為初稿本;  初審會第一次會議紀錄為103年2月26日公聽會會議紀錄,環保署,政策評估說明書,1021470A
審查中,楊智凱,中部科學工業園區臺中園區擴建用地（原大肚山彈藥分庫）開發計畫環境影響說明書,本書件為初稿本；補正期限：103年6月30日,環保署,說明書,1021461A
審查中,楊智凱,嘉義大埔美智慧型工業園區開發計畫第三次環境影響差異分析報告及變更審查結論,本書件為初稿本,環保署,差異分析報告,1021453A
審核修正…,商維庭,福海離岸風力發電計畫（第一期工程）環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1021443A
審核修正…,邱景昆,西濱快速公路建設計畫中部路段-大甲大安路段變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021434A
審核修正…,邱景昆,桃園縣復興鄉桃源仙谷遊樂區環境影響說明書第一次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021424A
審核修正…,邱景昆,屏東縣六塊厝農場設置加工出口區計畫環境影響說明書第三次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021414A
審核修正…,邱景昆,台9線花東公路第三期拓寬計畫環境影響說明書第二次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021404A
審核修正…,林欣怡、商維庭,台灣~澎湖161kV電纜線路工程環境影響差異分析報告（第2次申請）,,環保署,差異分析報告,1021393A
進入二階…,商維庭,大故宮計畫環境影響說明書,本書件為公開陳列版,環保署,說明書,1021381A
審核修正…,張同婉,彰化漁港開發計畫第2次環境影響差異分析報告,,環保署,差異分析報告,1021373A
審查中,邱景昆,東西向快速公路北門玉井線第六次變更(台84線橋下地方連通道(國1至台19甲段))變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1021364A
審查中,邱景昆,變更小人國主題樂園興辦事業計畫(第二次)環境影響說明書變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1021354A
審查中,陳彥男,臺中市大豐風力發電廠興建計畫環境影響差異分析報告,本書件為第2次修訂本,環保署,差異分析報告,1021343A
審查中,邱景昆,嘉南高爾夫球場環境說明書變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1021334A
